id;city;visa_application_date;visa_issue_date;waiting_days;travel_purpose;planned_travel_date;additional_doc_request;tickets_purchased;hotels_purchased;employment_certificate;financial_guarantee;comments;visa_center;visa_status;visa_issued_for_days;corridor_days;past_visas_trips;consul;planned_stay_in_italy
7633;Москва;14.07.2023;15.08.2023;32;Туризм;;0;0;0;работа;;;VMS;1;;;;;
7634;Москва;15.08.2023;18.09.2023;34;Туризм;;0;0;0;;;;VMS;1;;;;;
7635;Москва;12.09.2023;04.10.2023;22;Туризм;;0;0;0;работа;250;;VMS;1;;;;;
7636;Москва;07.11.2023;30.11.2023;23;;02.04.2024;0;0;0;;1500;;VMS;1;;;;;
7637;Москва;09.11.2023;04.12.2023;25;;30.01.2024;0;0;0;;720;;VMS;1;;;;;
7638;Москва;13.11.2023;04.12.2023;21;;10.12.2023;0;0;0;самозанятость;450;;VMS;1;;;;;
7639;Москва;14.11.2023;07.12.2023;23;;08.03.2024;0;0;0;работа;450;;VMS;1;;;;;
7640;Москва;30.11.2023;08.01.2024;39;Родственники;26.01.2024;0;0;0;учеба;700;;VMS;1;;;;;
7641;Москва;05.12.2023;12.01.2024;38;;;0;0;0;;;;VMS;1;;;;;
7642;Москва;06.12.2023;12.01.2024;37;;;0;0;0;;;;VMS;1;;;;;
7643;Москва;08.12.2023;15.01.2024;38;;;0;0;0;;;;VMS;1;;;;;
7644;Москва;26.12.2023;25.01.2024;30;;;0;0;0;работа;470;;VMS;1;;;;;
7645;Москва;22.12.2023;29.01.2024;38;;01.02.2024;0;0;0;;;;VMS;1;;;;;
7646;Москва;22.01.2024;14.02.2024;23;;;0;0;0;работа;;;VMS;1;;;;;
7647;Москва;22.01.2024;15.02.2024;24;;28.02.2024;0;0;0;работа;400;;VMS;1;;;;;
7648;Москва;25.01.2024;19.02.2024;25;;;0;0;0;;700;;VMS;1;;;;;
7649;Москва;05.02.2024;04.03.2024;28;;;0;0;0;;500;;VMS;1;;;;;
7650;Москва;02.02.2024;04.03.2024;31;;;0;0;0;;1200;;VMS;1;;;;;
7651;Москва;01.02.2024;05.03.2024;33;;;0;0;0;;220;;VMS;1;;;;;
7652;Москва;08.02.2024;11.03.2024;32;Туризм;22.03.2024;0;0;0;;1100;;VMS;1;;;;;
7653;Москва;13.02.2024;13.03.2024;29;Туризм;;0;0;0;;1100;;VMS;1;;;;;
7654;Москва;07.02.2024;12.03.2024;34;;;0;0;0;без справки;700;;VMS;1;;;;;
7655;Москва;21.02.2024;21.03.2024;29;;01.06.2024;0;0;0;;;;VMS;1;;;;;
7656;Москва;22.02.2024;22.03.2024;29;;23.03.2024;0;0;0;;;;VMS;1;;;;;
7657;Москва;22.02.2024;22.03.2024;29;;19.03.2024;0;0;0;;;;VMS;1;;;;;
7658;Санкт-Петербург;16.01.2024;25.03.2024;69;;30.03.2024;0;0;0;;;;VMS;1;;;;;
7659;Москва;26.02.2024;26.03.2024;29;Туризм;22.04.2024;0;0;0;работа;850;;VMS;1;;;;;
7660;Москва;27.02.2024;28.03.2024;30;;22.04.2024;0;0;0;;800;;VMS;1;;;;;
7661;Москва;26.02.2024;25.03.2024;28;;;0;0;0;;;;VMS;1;;;;;
7662;Москва;01.03.2024;02.04.2024;32;;;0;0;0;работа;900;;VMS;1;;;;;
